state,rate_p,duty_p,total_p
Andaman and Nicobar Islands,840,0,840
Andhra Pradesh,975,6,981
Arunachal Pradesh,500,0,500
Assam,824,10,834
Bihar,744,45,789
Chandigarh,603,11,614
Chhattisgarh,773,93,866
Dadra and Nagar Haveli,330,0,330
Daman and Diu,358,0,358
Delhi (BYPL/BRPL/NDPL-TPDDL),947,47,994
Delhi (NDMC),810,41,851
Goa,453,70,523
Gujarat,468,117,585
"Gujarat (Torrent Power Ltd., Ahmedabad)",510,128,638
"Gujarat (Torrent power Ltd., Surat)",482,120,602
Haryana,675,10,685
Himachal Pradesh,512,41,553
Jammu and Kashmir,571,57,628
Jharkhand,692,29,721
Karnataka,845,51,896
"Bruhat Banglore Mahangara Palike, Municipal  Corp. & all Urban Areas Under Village Panchyats",788,47,836
Kerala,970,93,1063
Lakshadweep,750,0,750
Madhya Pradesh (Urban Areas),648,96,744
(Rural Areas),628,93,721
Maharashtra,1007,221,1228
Maharashtra - Mumbai - (B.E.S.T),1027,240,1267
Maharashtra - Mumbai - (Reliance Energy),967,227,1194
Maharashtra - Mumbai - (TATA`s)),1001,234,1235
Manipur,626,0,626
Mizoram,575,0,575
Meghalaya,732,6,738
Nagaland,848,0,848
Odisha,681,27,708
Puducherry,615,30,645
Punjab,674,88,761
Rajasthan,921,65,986
Sikkim,612,0,612
Tamil Nadu,888,44,933
Tripura,768,0,768
Uttarakhand,547,15,562
Uttar Pradesh (Urban Area),997,8,1005
(Rural Areas),393,8,401
West Bengal (Urban Areas),893,134,1027
(Rural Areas),893,134,1027
"West Bengal (CESC Ltd., Kolkata)",886,133,1019
West Bengal (DPSC Ltd.),702,105,807
West Bengal - Durgapur Project Ltd.,522,78,600
Telangana,969,6,975
