state,rate_p,duty_p,total_p
Andaman and Nicobar Islands,870,0,870
Andhra Pradesh,995,6,1001
Arunachal Pradesh,500,0,500
Assam,826,10,836
Bihar,748,45,793
Chandigarh,607,11,618
Chhattisgarh,798,96,894
Dadra and Nagar Haveli,332,0,332
Daman and Diu,362,0,362
Delhi (BYPL/BRPL/NDPL-TPDDL),1030,51,1081
Delhi (NDMC),1018,51,1069
Goa,462,70,532
Gujarat,510,128,638
"Gujarat (Torrent Power Ltd, Ahmedabad)",587,147,733
"Gujarat (Torrent power LTtd, Surat)",600,150,750
Haryana,675,10,685
Himachal Pradesh,513,41,555
Jammu and Kashmir,571,57,628
Jharkhand,692,30,721
Karnataka,847,51,897
"Bruhat Banglore Mahangara Palike, Municipal Corp. &  all Urban Areas Under Village Panchyats",790,47,837
Kerala,1010,93,1103
Lakshadweep,760,0,760
Madhya Pradesh (Urban Areas),765,114,879
(Rural Areas),748,112,860
Maharashtra,1029,225,1254
Maharashtra - Mumbai - (B.E.S.T),1045,243,1288
Maharashtra - Mumbai - (Reliance Energy),957,225,1182
Maharashtra - Mumbai - (TATA`s)),991,232,1224
Manipur,635,0,635
Mizoram,584,0,584
Meghalaya,737,6,743
Nagaland,859,0,859
Odisha,690,28,718
Puducherry,620,31,651
Punjab,674,88,762
Rajasthan,1009,65,1074
Sikkim,623,0,623
Tamil Nadu,893,45,938
Tripura,768,0,768
Uttarakhand,547,15,562
Uttar Pradesh (Urban Area),1015,8,1022
(Rural Areas),393,8,401
West Bengal (Urban Areas),905,136,1040
(Rural Areas),905,136,1040
"West Bengal (CESC Ltd., Kolkata)",901,135,1036
West Bengal (DPSC Ltd.),707,106,813
West Bengal - Durgapur Project Ltd.,524,79,603
Telangana,985,6,991
