state,rate_p,duty_p,total_p
Andaman and Nicobar Islands,678,0,678
Andhra Pradesh,851,6,857
Arunachal Pradesh,500,0,500
Assam,804,10,814
Bihar (Urban Areas),608,37,645
Rural Areas),280,17,297
Chandigarh,577,11,588
Chhattisgarh,627,75,702
Dadra and Nagar Haveli,308,0,308
Daman and Diu,332,0,332
Delhi (BYPL/BRPL/NDPL-TPDDL),947,47,994
Delhi (NDMC),810,41,851
Goa,398,70,468
Gujarat,468,117,585
"Gujarat (Torrent Power Ltd., Ahmedabad)",497,124,621
"Gujarat (Torrent power Ltd., Surat)",482,120,602
Haryana,605,10,615
Himachal Pradesh,538,43,581
Jammu and Kashmir,365,37,402
Jharkhand (Urban Area),692,25,717
(Rural Areas),190,25,215
Karnataka,832,50,882
"Bruhat Banglore Mahangara Palike, Municipal  Corp. & all Urban Areas Under Village Panchyats",775,47,822
Kerala,780,74,854
Lakshadweep,668,0,668
Madhya Pradesh (Urban Areas),648,91,739
(Rural Areas),628,88,716
Maharashtra,835,184,1020
Maharashtra - Mumbai - (B.E.S.T),995,233,1228
Maharashtra - Mumbai - (Reliance Energy),1041,243,1284
Maharashtra - Mumbai - (TATA`s),1075,250,1325
Manipur,557,0,557
Mizoram,500,0,500
Meghalaya,693,6,699
Nagaland,758,0,758
Odisha,603,24,627
Puducherry,574,27,601
Punjab,668,87,754
Rajasthan,888,65,953
Sikkim,534,0,534
Tamil Nadu,797,40,837
Tripura,692,0,692
Uttarakhand,547,15,562
Uttar Pradesh (Urban Area),820,8,828
(Rural Areas),393,8,401
West Bengal (Urban Areas),801,80,881
(Rural Areas),800,80,880
"West Bengal (CESC Ltd., Kolkata)",773,77,851
West Bengal (DPSC Ltd.),661,66,727
West Bengal- Durgapur Project Ltd.,499,50,549
Telangana,885,6,891
