state,rate_p,duty_p,total_p
Andaman and Nicobar Islands,880,0,880
Andhra Pradesh,1001,6,1007
Arunachal Pradesh,500,0,500
Assam,844,10,854
Bihar,749,45,794
Chandigarh,609,11,620
Chhattisgarh,807,97,903
Dadra and Nagar Haveli,333,0,333
Daman and Diu,363,0,363
Delhi (BYPL/BRPL/NDPL-TPDDL),1030,51,1081
Delhi (NDMC),1018,51,1069
Goa,464,70,534
Gujarat,514,128,642
"Gujarat (Torrent Power Ltd., Ahmedabad)",587,147,733
"Gujarat (Torrent Power Ltd., Surat)",600,150,750
Haryana,728,10,738
Himachal Pradesh,513,41,555
Jammu and Kashmir,571,57,628
Jharkhand,692,30,721
Karnataka,847,51,898
"Bruhat Banglore Mahangara Palike, Municipal  Corp. & all Urban Areas Under Village Panchyats",791,47,838
Kerala,1010,93,1103
Lakshadweep,763,0,763
Madhya Pradesh (Urban Areas),765,114,879
(Rural Areas),748,112,860
Maharashtra,1117,244,1361
Maharashtra - Mumbai - (B.E.S.T),1112,258,1370
Maharashtra - Mumbai - (Reliance Energy),1189,274,1463
Maharashtra - Mumbai - (TATA`s)),976,229,1205
Mizoram,587,0,587
Meghalaya,738,6,744
Nagaland,863,0,863
Odisha,694,28,721
Puducherry,622,31,653
Punjab,675,88,762
Rajasthan,1013,65,1078
Sikkim,627,0,627
Tamil Nadu,895,45,940
Tripura,768,0,768
Uttarakhand,631,15,646
Uttar Pradesh (Urban Area),1020,8,1028
(Rural Areas),393,8,401
West Brngal (Urban Areas),909,136,1045
(Rural Areas),908,136,1045
"West Bengal (CESC Ltd., Kolkata)",905,136,1041
West Bengal (DPSC Ltd.),704,106,810
West Bengal - Durgapur Project Ltd.,525,79,604
Telangana,990,6,996
