state,rate_p,duty_p,total_p
Andaman and Nicobar Islands,781,0,781
Andhra Pradesh,935,6,941
Arunachal Pradesh,500,0,500
Assam,819,10,829
Bihar,690,41,732
Chandigarh,594,11,605
Chhattisgarh,723,87,810
Dadra and Nagar Haveli,324,0,324
Daman and Diu,352,0,352
Delhi (BYPL/BRPL/NDPL-TPDDL),947,47,994
Delhi (NDMC),810,41,851
Goa,436,70,506
Gujarat,468,117,585
"Gujarat (Torrent Power Ltd., Ahmedabad)",497,124,621
"Gujarat (Torrent power Ltd., Surat)",482,120,602
Haryana,605,10,615
Himachal Pradesh,518,41,560
Jammu and Kashmir,441,44,485
Jharkhand,692,28,720
Karnataka,842,51,892
"Bruhat Banglore Mahangara Palike, Municipal  Corp. & all Urban Areas Under Village Panchyats",785,47,832
Kerala,970,93,1063
Lakshadweep,729,0,729
Madhya Pradesh (Urban Area),648,95,743
(Rural Area),628,92,720
Maharashtra,964,212,1176
Maharashtra - Mumbai - (B.E.S.T),993,233,1225
Maharashtra - Mumbai - (Reliance Energy),985,231,1216
Maharashtra - Mumbai - (TATA`s)),1019,238,1257
Manipur,609,0,609
Mizoram,556,0,556
Meghalaya,722,6,728
Nagaland,825,0,825
Odisha,661,26,688
Puducherry,605,30,634
Punjab,672,87,759
Rajasthan,879,65,944
Sikkim,589,0,589
Tamil Nadu,878,44,922
Tripura,768,0,768
Uttarakhand,547,15,562
Uttar Pradesh (Urban Area),970,8,977
(Rural Areas),393,8,401
West Bengal (Urban Areas),870,109,979
(Rural Areas),870,109,978
"West Bengal (CESC Ltd., Kolkata)",858,107,965
West Bengal (DPSC Ltd.),692,86,778
West Bengal - Durgapur Project Ltd.,516,65,581
Telangana,938,6,944
